source;target;value
2533;13002;440
2533;13036;435
2533;14002;412
2533;14013;422
2533;14021;410
2533;14040;426
2533;14052;429
2533;14057;435
2533;14069;437
2533;14071;419
2533;14226;425
2533;14227;402
2533;14243;414
2533;14245;418
2533;14273;406
2533;14403;401
2533;14415;423
2533;14438;405
2533;14449;437
2605;6240;401
2605;7343;401
2605;10540;411
2605;10733;405
2605;13010;419
2605;14206;410
2605;14265;405
3078;3224;429
3078;5101;422
3078;6240;456
3078;6661;431
3078;6845;406
3078;6936;425
3078;7343;443
3078;7824;436
3078;8010;438
3078;8672;402
3078;9551;419
3078;10391;432
3078;10421;428
3078;10463;432
3078;10511;405
3078;10540;449
3078;10551;404
3078;10566;415
3078;10577;419
3078;10582;406
3078;10583;444
3078;10599;418
3078;10602;414
3078;10609;403
3078;10613;439
3078;10620;412
3078;10621;440
3078;10703;416
3078;10705;441
3078;10723;409
3078;10726;441
3078;10732;422
3078;10733;428
3078;10756;445
3078;10760;425
3078;10768;413
3078;11014;404
3078;11054;415
3078;12000;404
3078;12004;446
3078;12027;419
3078;12030;435
3078;12036;431
3078;12044;406
3078;13010;459
3078;13013;433
3078;13024;401
3078;13035;421
3078;13040;418
3078;14027;426
3078;14029;453
3078;14039;428
3078;14051;414
3078;14055;435
3078;14203;419
3078;14204;421
3078;14206;449
3078;14207;416
3078;14209;436
3078;14210;418
3078;14211;427
3078;14214;426
3078;14215;438
3078;14217;420
3078;14224;438
3078;14229;426
3078;14231;450
3078;14244;405
3078;14246;423
3078;14248;406
3078;14255;409
3078;14256;411
3078;14257;423
3078;14264;440
3078;14265;457
3078;14266;403
3078;14267;422
3078;14269;402
3078;14274;405
3078;14275;441
3078;14277;443
3078;14278;417
3078;14279;434
3078;14282;423
3078;14284;413
3078;14285;425
3078;14289;412
3078;14400;440
3078;14401;434
3078;14406;405
3078;14407;402
3078;14413;410
3078;14421;425
3078;14423;423
3078;14430;431
3078;14433;411
3078;14435;437
3078;14440;440
3078;14443;407
3078;14444;407
3078;14445;449
3078;14457;406
3078;14458;447
3078;14460;406
3078;14463;426
3078;14465;404
3224;5101;406
3224;6240;464
3224;6584;422
3224;6661;428
3224;6845;442
3224;6936;441
3224;7343;466
3224;7824;414
3224;8010;419
3224;8564;419
3224;8672;421
3224;9017;405
3224;9551;424
3224;10391;440
3224;10421;410
3224;10463;455
3224;10540;435
3224;10566;401
3224;10582;406
3224;10583;417
3224;10602;435
3224;10609;417
3224;10613;452
3224;10620;443
3224;10621;414
3224;10703;438
3224;10705;416
3224;10723;406
3224;10726;432
3224;10732;414
3224;10733;440
3224;10756;449
3224;10760;404
3224;10768;410
3224;11014;422
3224;11054;419
3224;11067;425
3224;12000;421
3224;12004;451
3224;12027;435
3224;12030;420
3224;12035;426
3224;12036;404
3224;12044;439
3224;13010;458
3224;13013;413
3224;13024;403
3224;13026;410
3224;14027;426
3224;14029;417
3224;14039;429
3224;14055;411
3224;14058;403
3224;14067;405
3224;14072;407
3224;14203;411
3224;14204;426
3224;14206;448
3224;14209;422
3224;14211;408
3224;14214;415
3224;14215;429
3224;14224;442
3224;14229;425
3224;14231;433
3224;14246;415
3224;14248;405
3224;14250;428
3224;14255;411
3224;14257;421
3224;14264;431
3224;14265;453
3224;14267;404
3224;14274;405
3224;14275;412
3224;14277;419
3224;14278;412
3224;14279;415
3224;14284;423
3224;14285;459
3224;14400;432
3224;14401;424
3224;14402;415
3224;14406;418
3224;14413;409
3224;14421;406
3224;14423;419
3224;14430;422
3224;14433;425
3224;14434;424
3224;14435;415
3224;14440;428
3224;14441;401
3224;14442;401
3224;14443;419
3224;14445;422
3224;14457;403
3224;14458;429
3224;14460;407
3224;14465;434
3224;13032;415
3242;5924;410
3242;10550;409
3242;10567;417
3242;10626;417
3242;10719;416
3242;10767;436
3242;10783;412
3242;11005;409
3242;11035;416
3242;12011;446
3242;13002;401
3242;13036;437
3242;13055;412
3242;14003;411
3242;14004;401
3242;14013;422
3242;14018;404
3242;14031;415
3242;14040;411
3242;14052;413
3242;14057;413
3242;14060;402
3242;14071;410
3242;14219;412
3242;14226;410
3242;14227;404
3242;14251;413
3242;14259;421
3242;14276;404
3242;14291;414
3242;14415;405
3242;14427;424
3242;14449;419
3242;14456;409
3242;14462;407
3242;94454;409
3321;10719;404
3321;10783;403
3321;11005;407
3321;11023;406
3321;11037;402
3321;12011;406
3321;14233;408
3321;14251;410
3321;14424;418
3321;14427;416
3321;14464;429
4957;6240;416
4957;7343;402
5101;6240;425
5101;6661;417
5101;6936;409
5101;7343;420
5101;7824;457
5101;8010;444
5101;10421;451
5101;10463;418
5101;10540;418
5101;10551;413
5101;10566;409
5101;10577;434
5101;10583;452
5101;10609;407
5101;10613;416
5101;10621;431
5101;10705;446
5101;10726;404
5101;10732;427
5101;10733;414
5101;10756;429
5101;10760;439
5101;10768;421
5101;11054;414
5101;12004;424
5101;12008;408
5101;12025;409
5101;12027;402
5101;12030;438
5101;12036;437
5101;12044;401
5101;13010;437
5101;13011;441
5101;13013;468
5101;13031;411
5101;13035;418
5101;13040;433
5101;14008;414
5101;14022;427
5101;14027;419
5101;14029;426
5101;14039;435
5101;14051;439
5101;14053;414
5101;14055;469
5101;14203;416
5101;14204;405
5101;14205;410
5101;14206;443
5101;14207;444
5101;14209;453
